target_id	name
Q69507525	영택
Q3579995	Édouard Philippe
Q14523736	cordage
Q23772255	Maria Azevedo
Q1125771	Congo
Q275343	Tara Subkoff
Q5010538	Rabi Kinagi
Q555010	Micha Ullman
Q243467	Subiaco
Q7205071	Kim Sung-min
Q16169079	janggi piece
Q62019146	rap music
Q40035185	Toll-like receptor 4 and cytokine expression involved in functional immune response in an originally established porcine intestinal epitheliocyte cell line.
Q56728	Isthmus Zapotec
Q5653298	Zully Moreno
Q7427185	Category:Hollywood
Q1062659	Lantis
Q21170235	iron bridge
Q677085	NortonLifeLock
Q11525699	Tokyo Metropolitan Road Route 131
Q84072	Turkish people
Q39060163	Neponsit Beach Hospital
Q2745262	Don Scardino
Q228789	Lena Headey
Q9288712	yaw axis
Q2879972	Bairon
Q720777	Jake Hoffman
Q2390	March 2
Q7441563	Seanchaí
Q115258	Fulton County
Q3102463	Georges Chauvel
Q9327	Guy de Maupassant
Q1984623	Doctor of Divinity
Q4971696	Britvic
Q64223531	Star Trek Fact Files
Q1663557	initiative
Q2536001	Randa Haines
Q1422989	William Perlberg
Q210734	Youssou N’Dour
Q896971	Bird of the Year
Q23350055	cell wall-binding protein YocH BSU19210
Q103946	Kiefer Sutherland
Q975052	Livio Pavanelli
Q2926174	Brooksfilms
Q2753651	Frank Hampson
Q59528	Guy Gardner
Q12016	The Four Seasons
Q27915575	A.P. - 12
Q1004597	Gevaş
Q30103324	Zespół pałacowy
Q30299260	Délégation Centre-Est
Q165138	Groove Coverage
Q11465178	Masaya Ozaki
Q3660524	Carola Stagnaro
Q32906	Adamawa languages
Q154626	cytoskeleton
Q61592599	Shot Clock
Q3366058	London Colney
Q5534717	Geoffrey Jones
Q13052740	Ejipt
Q4122123	Gholam-Hossein Sa'edi
Q920388	S-5
Q21108162	Golgi vesicle docking
Q547310	Art LaFleur
Q12766313	geomorphological unit
Q235455	Lily Cole
Q60698781	Seven Fashionable Useless Habits (Furyu nakute nana kuse)
Q647370	Mercyful Fate
Q2078529	Peter Striebeck
Q268018	Nicole Brown Simpson
Q16951862	Birds
Q13141064	badminton player
Q22135339	3-methyl-adenine DNA glycosylase I ECIAI39_4057
Q273055	R. Kelly
Q4229974	Anna Komolova
Q666373	Seini
Q27132419	Merryweather
Q246477	Rabbit
Q24183135	DNA polymerase III subunit epsilon bll2297
Q211976	John Petrucci
Q319328	European Union
Q170412	melody
Q956318	designated place of Canada
Q10072	Goes
Q955653	Kasper Andersen
Q4017804	Walker Edmiston
Q14864333	Rating Pending
Q1931708	Ma
Q260703	partition
Q1971453	Khoren Abrahamyan
Q22293618	nurse cell apoptotic process
Q178167	Mount Kosciuszko
Q385186	Golden Raspberry Award for Worst New Star
Q6164239	Jastrzębia, Grójec County
Q18678082	Nouvelle-Aquitaine
Q2157431	Vinmavis
Q1778905	Superboy
Q33902	Saraiki language
Q3727653	Banshee, season 1
Q486761	classical antiquity
Q10631927	Pinigura
Q1086827	Berlin
Q64494832	Buzz! universe
Q65643101	Mayor of Time
Q1710177	Open Journal Systems
Q1578	cigarette
Q5135573	clothing material
Q15577	Jervis Bay Territory
Q1130645	open-source software
Q3484972	Prince singles discography
Q7430355	Scarecrow Messiah
Q4946786	Borucin, Kuyavian-Pomeranian Voivodeship
Q646389	Hook
Q6388440	Ken Sansom
Q85729	Rudolf Martin
Q26228302	Category:Bow, New Hampshire
Q190087	Data type
Q11427106	Saitama Prefectural Road and Tokyo Metropolitan Road Route 103
Q15830363	Karel Štěpánek
Q4315873	Yury Nevsky
Q27131943	פֿילמו
Q63698	Fujian Province
Q2854326	Trojanów, Garwolin County
Q55709	Magalang
Q48875204	The dielectric properties of biological tissues: II. Measurements in the frequency range 10 Hz to 20 GHz.
Q24510965	3-oxo-cerotoyl-CoA synthase activity
Q663586	Agariya
Q11867151	Jouko Aaltonen
Q56165109	Badge! Gun!
Q8663229	Category:Rings
Q653002	Staatliche Kunstsammlungen Dresden
Q2404574	Lenie Wielkie
Q233801	Deborah Kara Unger
Q18224227	Adolf Steimel
Q3620315	Antonio Visone
Q45221	Herbert Achternbusch
Q5358864	Elemental Records
Q1323415	Akeno Watanabe
Q8027808	Witanowice, Lower Silesian Voivodeship
Q981690	Tahar Rahim
Q5439456	Fearless
Q6502654	프로포즈
Q18951	Half-Life 2: Episode One
Q13210	Russian Sign Language
Q3578530	École véronaise
Q3494501	Shiney Ahuja
Q8008	Earth sciences
Q1520453	United Soccer League
Q350176	additive
Q3465812	The Office (U.S. season 1)
Q1100710	Jay Inslee
Q467574	Robert Frank
Q12802	nuclear weapon
Q613334	Awake
Q349842	Anton Corbijn
Q23163300	TonB-dependent receptor XCC2887
Q7243398	primer
Q949302	skin disease
Q102090	Apache
Q55788458	multiple congenital anomalies/dysmorphic syndrome
Q17343829	unincorporated community
Q7076785	Octavia of the Julii
Q1358364	Giovanni Antonio Pellegrini
Q2906106	Blandine Pélissier
Q1837906	Mayor of Moscow
Q30531653	Zespół dworski
Q5058196	cell fate determination
Q221882	Newell's Old Boys
Q187805	Spokane
Q30160738	Zespół dworski
Q237338	seinen
Q5030949	Canajoharie
Q37501	eyeglasses
Q232655	Nerima-ku
Q18032	Hyrrokkin
Q14913507	cholinesterase activity
Q3737953	Fabrizio Bracconeri
Q3307204	Chicomuceltec
Q50431054	The Tomorrow People, season 1
Q443044	Tess Harper
Q1917626	multi-purpose vessel
Q6428562	Komorzno
Q28923769	Charlotte Angus
Q82955	politician
Q998027	Filyovsky park District
Q20679883	psychological theory
Q50574233	Smash the Mirror (part two)
Q63463572	Earth
Q266569	animator
Q11216	numerical analysis
Q12953562	Southern Qiandong language
Q672409	Eve
Q515632	Ossie Davis
Q666931	John Lindsay
Q984572	Tracy Letts
Q15305608	mouse chromosome 15
Q29976482	Zespół dworski
Q21069764	Clifton Wheeler
Q1030567	fruit
Q3177481	Jerry London
Q93343	Percy Bysshe Shelley
Q1047918	New Mutants
Q11427108	Saitama Prefectural Road and Tokyo Metropolitan Road Route 104
Q45	Portugal
Q29772586	shha
Q382108	Team Fortress 2
Q2624453	bandweaving
Q72166678	Love, Reign o'er Me
Q133634	The Freddie Mercury Album
Q5393660	Ernest Palmer
Q9380010	Wypowiedzenie
Q17489160	bust
Q3494803	square Saint-Lambert
Q59454417	KLF Communications
Q2818028	679 Artists
Q800416	Auber
Q1465092	New Bremen
Q238361	Della Reese
Q20220031	John Stahl
Q1185115	City of Cape Town
Q1405763	Ferdinand Schmidt-Modrow
Q45474912	Bao Sheng
Q3474222	Western Ojibwa
Q21208	Hebei
Q5377665	Engine
Q1254786	Dragomir Felba
Q23548	National Aeronautics and Space Administration
Q54519	Santa Severina
Q8002629	Wilków, Lesser Poland Voivodeship
Q33143835	Zespół dworski
Q8066197	Category:Births in New York City
Q531617	Louis Koo
Q2799612	Carolyn McCormick
Q39639	Brad Paisley
Q192508	Bergen op Zoom
Q14901975	Caspase 1
Q5050900	Casualty, season 24
Q317778	Fakhruddin Ali Ahmed
Q3179426	Jo Yeong-wook
Q180173	sailplane
Q3242115	revolutionary
Q5463018	Flux
Q217732	Neal Huff
Q16192016	School 4
Q2626887	Metrogorodok District
Q2398	March 11
Q6558822	Lish language
Q168515	University of Utah
Q702750	arrondissement of Vesoul
Q2183199	Patrick Topaloff
Q1158394	Jonathan
Q2666835	Kiai language
Q344729	Christos Sartzetakis
Q18327525	fictional clone
Q119935	Edmond O'Brien
Q44102672	Does mad honey poisoning require hospital admission?
Q3048317	Muqi
Q42192	San Donato Milanese
Q2091478	Ioannis Alevras
Q207369	Snoopy
Q5107838	Chris Regan
Q3435903	Robert Mercier
Q30953150	Zespół dworski i folwarczny
Q29863230	The Prayer before Meal
Q209055	Torquay
Q6832210	Michael Lessac
Q3831538	Staroye Kryukovo District
Q4922324	Yao Yao
Q10942670	リアル鬼ごっこ
Q2748031	Gagosian Gallery
Q4860206	Bardonki
Q1210827	The Matrix trilogy
Q58418516	Björn Alpermann
Q753	copper
Q10774753	performance artist
Q133279	back
Q55367625	Héros d'argile et de papier. La collection Van Herck
Q16728382	Dany Cooper
Q12482	set theory
Q15767629	Alternative Therapies in Health and Medicine
Q80245	Quintana Roo
Q64418453	The Last of Us universe
Q2271329	Ari Lemmke
Q2255936	Bilczyce
Q6837147	Michelle Manning
Q1150958	play
Q16645768	storygame
Q1516083	piebaldism
Q24671283	Rock
Q2626343	Krasnoselsky District
Q1933314	Telegram
Q12952647	Kom language
Q461949	Henry O'Neill
Q115014	Genesee County
Q24281637	Cell division topological specificity factor MinE O3K_14800
Q54826003	Black Edition 2
Q8067705	Zbeniny
Q52889	Kościan
Q3441122	Tai Ya
Q40894456	Presidential Complex of Turkey
Q19825927	New York City Landmark
Q901	scientist
Q233873	Teri Garr
Q5559656	Gideon Raff
Q2641268	Alex Cline
Q5104127	Chojnata
Q23596505	Capsular polysaccharide biosynthsis protein aq_1641
Q267170	Meredith Monk
Q187588	social class
Q6454445	Kębłów, Lower Silesian Voivodeship
Q704612	Huang Jianxin
Q7731787	The Eleventh Hour
Q2084742	Linguère
Q14911651	neutrophil degranulation
Q2997872	T.Love
Q7179720	Pełczyce, Wrocław County
Q1458583	Category:Space
Q6931494	Muda
Q17153342	Kaytranada
Q28195494	fluid flow
Q12612448	Yi Jang-hui
Q6453666	modular programming
Q10710522	Urningangg
Q21070598	narrative entity
Q28762900	copilot
Q13315	Michif
Q590057	Rusko, Greater Poland Voivodeship
Q42944	CERN
Q1635561	Not on Top
Q722027	EA DICE
Q47463758	RFC 1395: BOOTP Vendor Information Extensions
Q265706	Susan Strasberg
Q3094737	Galileo
Q5189282	Crowmarsh
Q2346025	Belgrade Observatory
Q52620730	De Gruyter Open
Q136	knight
Q3848410	Mario Carillo
Q24969535	Olusegun
Q15661340	ancient city
Q29034484	Reich Chancellor in the Weimar Republic
Q11321874	transformer
Q7239	organism
Q12551	Hundred Years' War
Q15597	Castelldefels
Q16194857	Mark Warburton
Q30103499	Zespół dworski
Q15712714	biomolecular structure
Q184594	County Waterford
Q1074029	Miles Millar
Q1058307	vampire hunter
Q5294586	Donald J. Trump State Park
Q3010100	Grabonóg
Q9564483	Category:Date, Fukushima
Q58458697	Simulating the transient evolution and abrupt change of Northern Africa atmosphere–ocean–terrestrial ecosystem in the Holocene
Q2720745	Harmony Kendall
Q24773491	DNA-directed RNA polymerase I, subunit RPA34.5
Q50048027	Yanina Andrieieva
Q693016	Rob Bowman
Q81825	caterpillar
Q39000092	Liu
Q4858404	Baranowo, Gmina Tarnowo Podgórne
Q175379	Empire of China
Q47116994	Sciedu Press
Q1152241	twill weave
Q21514702	abandoned project
Q11713195	Institute of Slavic Studies
Q60794019	Siege of Rome
Q83953411	Category:WS Jupiter (tugboat, 1998)
Q265820	William Merritt Chase
Q286410	Jonny Greenwood
Q41547034	FLS Award For Best Pop/Sung Collaboration
Q11525733	Tokyo Metropolitan Road Route 174
Q423763	Struga, Lower Silesian Voivodeship
Q437970	Ryan Adams
Q41621	Haifa
Q229914	Lyndsy Fonseca
Q1320939	Tom Lenk
Q868404	final good
Q3578721	Polubicze Dworskie
Q1109971	E Ring
Q272505	Kathleen Freeman
Q18250332	Egr3
Q2357555	Strzmiele
Q2527746	Virgin Money UK
Q6869583	Minta, Cameroon
Q4421	forest
Q15623421	image processing software
Q2421276	glacial landform
Q590208	Allgemeine Deutsche Biographie
Q64214264	eagle
Q8041370	Włostowice, Lesser Poland Voivodeship
Q79797	Armenians
Q1640628	network service
Q127912	U.S. Declaration of Independence
Q316681	Gareth Southgate
Q3511065	biological sequence
Q11622189	薔薇と雨
Q753679	gangsta rap
Q3105414	Gideon Emery
Q1402681	Rat Pack Filmproduktion
Q11424	film
Q33393	Jakaltek language
Q3856276	Michael Suby
Q938006	Wólka
Q18057623	Giuàn
Q1176556	David Schofield
Q20997880	Shakespeare
Q21120625	eukaryotic translation initiation factor 2 complex
Q690140	misfortune
Q7322	Christopher Columbus
Q3178864	Jim Kouf
Q666752	human chromosome 20
Q5279710	Dipannita Sharma
Q33508473	Zespół pałacyku myśliwskiego Wielopolskich
Q496667	Muroran
Q14852031	heart morphogenesis
Q4952117	Boy Oh Boy
Q701930	Nick Cheung
Q1361389	Rod Morgenstein
Q2777698	Speed of Darkness
Q11681033	Deep Throat
Q8530604	Category:Ice
Q669430	Onyanko Club
Q29654361	Stokke
