embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
fasttextWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
fasttextWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",restaurant,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
fasttextWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",virus,disease,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
fasttextWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",shore,cliff,beach,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
fasttextWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",trash,litter,brush,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
fasttextWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",brazil,amazon,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
fasttextWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plane,circle,jet,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
babelnetWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",develop,drill,train,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
babelnetWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plants,rose,root,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
babelnetWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",group,bug,row,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
babelnetWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",water,well,duck,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
babelnetWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",military,knight,fighter,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
babelnetWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",system,state,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
babelnetWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",handle,racket,mug,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
babelnetWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",legal,contract,bar,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
babelnetWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",implement,torch,needle,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
babelnetWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plane,star,jet,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
word2vecWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",wash,sink,brush,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
word2vecWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fell,march,rose,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
word2vecWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",worm,spider,bug,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
word2vecWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
word2vecWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",restaurant,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
word2vecWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",virus,disease,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
word2vecWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",headland,cliff,beach,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
word2vecWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",petroleum,oil,tap,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
word2vecWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",usa,amazon,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
word2vecWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dinosaur,scorpion,mammoth,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
bertWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",filled,sink,brush,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
bertWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",primary,jet,ray,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
bertWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",modern,tag,row,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
bertWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",expected,well,straw,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
bertWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",complete,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
bertWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",latter,lab,engine,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
bertWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",particularly,cliff,dwarf,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
bertWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",back,plate,brush,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
bertWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",making,olive,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
bertWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",according,fork,mammoth,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
babelnetWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",develop,drill,train,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
babelnetWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plants,rose,root,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
babelnetWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",group,bug,row,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
babelnetWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",water,well,duck,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
babelnetWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",military,knight,fighter,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
babelnetWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",system,state,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
babelnetWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",handle,racket,mug,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
babelnetWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",legal,contract,bar,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
babelnetWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",implement,torch,needle,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
babelnetWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plane,star,jet,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
word2vecWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",backwashed,sink,water,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
word2vecWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",thrips,bug,root,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
word2vecWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",worm,spider,bug,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
word2vecWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
word2vecWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",restaurant,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
word2vecWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",virus,disease,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
word2vecWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",makapuu,cliff,beach,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
word2vecWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",ferals,kangaroo,litter,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
word2vecWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",usa,amazon,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
word2vecWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",skillet,fork,pan,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
